Source Ip,Dest Ip,Flag,Size,ACK Total, SYN/FIN Total,# of Src Ports,# of Dst Ports,MIN packet size,MAX packet size,AVG packet size,packet amount,INC packets,OUT packets
10.184.237.176,52.114.74.43,0,21514,41,4,4,5,1514,54,500.3255813953488,43,17,26
52.108.32.2,10.184.237.176,0,80685,499,0,2,2,1494,54,161.6933867735471,499,229,270
10.184.237.176,74.125.204.156,1,325,2,1,2,2,265,60,162.5,2,1,1
10.184.237.176,74.125.204.156,1,108,2,1,1,1,54,54,54.0,2,0,2
74.125.204.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,74.125.204.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,13.107.6.171,1,54,1,1,1,1,54,54,54,1,0,1
13.107.6.171,10.184.237.176,1,30524,106,7,5,6,1514,54,277.490909090909,110,51,59
10.184.237.176,74.125.204.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,198.252.206.25,0,923,14,0,2,2,112,55,65.92857142857143,14,7,7
10.184.237.176,74.125.204.156,1,168,3,1,2,2,60,54,56.0,3,1,2
192.0.73.2,10.184.237.176,1,154,2,1,2,2,100,54,77.0,2,1,1
192.0.73.2,10.184.237.176,1,199,3,1,2,2,85,54,66.33333333333333,3,1,2
192.0.73.2,10.184.237.176,0,60,1,0,1,1,60,60,60,1,0,1
10.184.237.176,104.16.109.18,1,693,11,1,2,2,100,54,63.0,11,5,6
10.184.237.176,172.217.161.162,1,413,6,1,2,2,117,54,68.83333333333333,6,3,3
10.184.237.176,151.101.1.69,0,726,12,0,2,2,66,55,60.5,12,6,6
10.184.237.176,108.177.97.188,0,726,12,0,2,2,66,55,60.5,12,6,6
10.184.237.176,108.177.97.155,1,2943,16,6,3,3,265,54,163.5,18,3,15
13.107.136.9,10.184.237.176,0,389898,454,4,3,4,1514,54,855.0394736842105,456,189,267
172.217.161.162,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,172.217.161.162,0,114,2,0,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.97.155,1,235,4,1,3,2,66,54,58.75,4,2,2
10.184.237.176,40.77.228.69,1,7410,19,3,2,2,1514,54,370.5,20,9,11
40.77.228.69,10.184.237.176,1,210,3,1,2,2,96,54,70.0,3,1,2
10.184.237.176,108.177.97.155,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,108.177.97.155,1,2161,11,3,2,3,265,54,180.08333333333334,12,3,9
10.184.237.176,108.177.97.155,1,108,2,1,1,1,54,54,54.0,2,0,2
108.177.97.155,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.155,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.97.155,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.97.155,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.97.155,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.97.155,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,52.109.120.3,1,37073,48,3,2,2,1514,54,756.5918367346939,49,22,27
52.109.120.3,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.109.120.3,1,43346,57,3,3,2,1514,54,747.3448275862069,58,24,34
10.184.237.176,108.177.97.155,1,168,3,1,2,2,60,54,56.0,3,1,2
10.184.237.176,172.217.31.226,1,2108,10,3,2,2,266,54,191.63636363636363,11,2,9
10.184.237.176,103.102.166.224,1,325948,406,7,3,3,1514,54,796.9388753056238,409,230,179
10.184.237.176,172.217.161.142,1,4962,13,3,2,2,1484,54,354.42857142857144,14,7,7
10.184.237.176,103.102.166.240,1,17928,39,13,7,7,1514,54,398.4,45,20,25
